apache2,Attack
back,Attack
mailbomb,Attack
processtable,Attack
snmpgetattack,Attack
teardrop,Attack
smurf,Attack
land,Attack
neptune,Attack
pod,Attack
udpstorm,Attack
ps,Attack
buffer_overflow,Attack
perl,Attack
rootkit,Attack
loadmodule,Attack
xterm,Attack
sqlattack,Attack
httptunnel,Attack
ftp_write,Attack
guess_passwd,Attack
snmpguess,Attack
imap,Attack
spy,Attack
warezclient,Attack
warezmaster,Attack
multihop,Attack
phf,Attack
imap,Attack
named,Attack
sendmail,Attack
xlock,Attack
xsnoop,Attack
worm,Attack
nmap,Attack
ipsweep,Attack
portsweep,Attack
satan,Attack
mscan,Attack
saint,Attack
worm,Attack
normal,Normal