apache2,DOS
back,DOS
mailbomb,DOS
processtable,DOS
snmpgetattack,DOS
teardrop,DOS
smurf,DOS
land,DOS
neptune,DOS
pod,DOS
udpstorm,DOS
ps,U2R
buffer_overflow,U2R
perl,U2R
rootkit,U2R
loadmodule,U2R
xterm,U2R
sqlattack,U2R
httptunnel,U2R
ftp_write,R2L
guess_passwd,R2L
snmpguess,R2L
imap,R2L
spy,R2L
warezclient,R2L
warezmaster,R2L
multihop,R2L
phf,R2L
imap,R2L
named,R2L
sendmail,R2L
xlock,R2L
xsnoop,R2L
worm,R2L
nmap,Probe
ipsweep,Probe
portsweep,Probe
satan,Probe
mscan,Probe
saint,Probe
worm,Probe