number,value,datetime_start,datetime_complete,duration,params_beat1,params_learning_rate,state
0,3.0085345067274876,2024-05-12 13:05:27.360011,2024-05-12 13:10:25.294733,0 days 00:04:57.934722,0.9566261145426845,0.012431138546819256,COMPLETE
1,,2024-05-12 13:10:25.294733,2024-05-12 13:13:01.940627,0 days 00:02:36.645894,0.8,0.010000000000000004,FAIL
2,1.8378729894120471,2024-05-12 13:13:01.941626,2024-05-12 13:17:54.921881,0 days 00:04:52.980255,0.8995,0.07071067811865477,COMPLETE
3,1.405814843554782,2024-05-12 13:17:54.921881,2024-05-12 13:22:39.601956,0 days 00:04:44.680075,0.84975,0.18803015465431966,COMPLETE
4,3.439929219137909,2024-05-12 13:22:39.601956,2024-05-12 13:27:24.398440,0 days 00:04:44.796484,0.94925,0.026591479484724956,COMPLETE
5,,2024-05-12 13:27:24.398440,2024-05-12 13:31:18.617945,0 days 00:03:54.219505,0.874625,0.043362443964140185,FAIL
6,,2024-05-12 13:31:18.617945,2024-05-12 13:34:00.612956,0 days 00:02:41.995011,0.974125,0.3066187817586519,FAIL
7,,2024-05-12 13:34:00.612956,2024-05-12 13:37:13.053873,0 days 00:03:12.440917,0.824875,0.11530715390799687,FAIL
8,3.8269431250981794,2024-05-12 13:37:13.053873,2024-05-12 13:42:02.259063,0 days 00:04:49.205190,0.9243750000000001,0.016306894089533105,COMPLETE
9,4.207160125335313,2024-05-12 13:42:02.260063,2024-05-12 13:46:52.349568,0 days 00:04:50.089505,0.8621875,0.020823650968103596,COMPLETE
10,1.3708823909107437,2024-05-12 13:46:52.350569,2024-05-12 13:51:40.859402,0 days 00:04:48.508833,0.9616875,0.1472454480860787,COMPLETE
11,,2024-05-12 13:51:40.860403,2024-05-12 13:55:41.192189,0 days 00:04:00.331786,0.8124375,0.39154743120000923,FAIL
12,,2024-05-12 13:55:41.193189,2024-05-12 13:59:16.340105,0 days 00:03:35.146916,0.9119375000000001,0.05537316875153995,FAIL
13,2.986386948925817,2024-05-12 13:59:16.340105,2024-05-12 14:04:04.937356,0 days 00:04:48.597251,0.8373125,0.03395690708942687,COMPLETE
14,,2024-05-12 14:04:04.937356,2024-05-12 14:06:58.645221,0 days 00:02:53.707865,0.9368125,0.24011159271055282,FAIL
15,,2024-05-12 14:06:58.645221,2024-05-12 14:10:41.397050,0 days 00:03:42.751829,0.8870625000000001,0.09029643982332056,FAIL
16,2.546005735667343,2024-05-12 14:10:41.397050,2024-05-12 14:15:29.467224,0 days 00:04:48.070174,0.9865625,0.012769844983214595,COMPLETE
17,,2024-05-12 14:15:29.467224,2024-05-12 14:18:03.149480,0 days 00:02:33.682256,0.89328125,0.014430402270243059,FAIL
18,,2024-05-12 14:18:03.149480,2024-05-12 14:21:14.775811,0 days 00:03:11.626331,0.99278125,0.10203835300538615,FAIL
19,1.6830065879556866,2024-05-12 14:21:14.775811,2024-05-12 14:26:05.846963,0 days 00:04:51.071152,0.8435312500000001,0.27133507705978477,COMPLETE
20,1.882552333494537,2024-05-12 14:26:05.846963,2024-05-12 14:31:04.736489,0 days 00:04:58.889526,0.94303125,0.03837257459254966,COMPLETE
21,2.5859325628759513,2024-05-12 14:31:04.736489,2024-05-12 14:35:55.388374,0 days 00:04:50.651885,0.8186562500000001,0.0625737509823416,COMPLETE
22,2.3245028822849956,2024-05-12 14:35:55.388374,2024-05-12 14:40:50.066713,0 days 00:04:54.678339,0.91815625,0.4424632364389212,COMPLETE
23,,2024-05-12 14:40:50.066713,2024-05-12 14:45:05.160609,0 days 00:04:15.093896,0.86840625,0.16639286155292232,FAIL
24,,2024-05-12 14:45:05.160609,2024-05-12 14:49:17.839770,0 days 00:04:12.679161,0.96790625,0.023531504149021155,FAIL
25,4.705839140897887,2024-05-12 14:49:17.839770,2024-05-12 14:54:08.795556,0 days 00:04:50.955786,0.8310937500000001,0.018427400003643183,COMPLETE
26,,2024-05-12 14:54:08.795556,2024-05-12 14:56:49.806663,0 days 00:02:41.011107,0.93059375,0.13030139502213103,FAIL
27,,2024-05-12 14:56:49.806663,2024-05-12 15:01:05.553356,0 days 00:04:15.746693,0.88084375,0.34649068725620386,FAIL
28,3.208704470569252,2024-05-12 15:01:05.553356,2024-05-12 15:05:50.334846,0 days 00:04:44.781490,0.9803437500000001,0.04900118291536979,COMPLETE
29,,2024-05-12 15:05:50.335845,2024-05-12 15:09:23.874037,0 days 00:03:33.538192,0.8559687500000001,0.03004936602048712,FAIL
30,,2024-05-12 15:09:23.874037,2024-05-12 15:13:51.225283,0 days 00:04:27.351246,0.95546875,0.21248110483443058,FAIL
31,1.250499593141751,2024-05-12 15:13:51.226282,2024-05-12 15:18:34.774699,0 days 00:04:43.548417,0.8062187500000001,0.07990571000627739,COMPLETE
32,4.619605114062627,2024-05-12 15:18:34.774699,2024-05-12 15:23:17.255490,0 days 00:04:42.480791,0.90571875,0.011300373880192909,COMPLETE
33,,2024-05-12 15:23:17.256490,2024-05-12 15:25:48.380834,0 days 00:02:31.124344,0.852859375,0.012012660933466434,FAIL
34,1.3608632273653634,2024-05-12 15:25:48.380834,2024-05-12 15:30:30.585156,0 days 00:04:42.204322,0.952359375,0.08494234006148835,COMPLETE
35,1.6382683607248156,2024-05-12 15:30:30.585156,2024-05-12 15:35:14.624638,0 days 00:04:44.039482,0.803109375,0.22587424931295974,COMPLETE
36,4.290949552614464,2024-05-12 15:35:14.625638,2024-05-12 15:39:57.241183,0 days 00:04:42.615545,0.902609375,0.03194344267692295,COMPLETE
37,1.597997766911474,2024-05-12 15:39:57.242198,2024-05-12 15:44:40.640011,0 days 00:04:43.397813,0.827984375,0.05208983365876541,COMPLETE
38,,2024-05-12 15:44:40.641011,2024-05-12 15:47:40.664004,0 days 00:03:00.022993,0.927484375,0.36833074610992267,FAIL
39,,2024-05-12 15:47:40.665003,2024-05-12 15:51:08.376604,0 days 00:03:27.711601,0.8777343750000001,0.1385145743099795,FAIL
40,2.74255757049745,2024-05-12 15:51:08.376604,2024-05-12 15:55:51.258145,0 days 00:04:42.881541,0.977234375,0.019588918957550893,COMPLETE
41,3.481442279795296,2024-05-12 15:55:51.258145,2024-05-12 16:00:34.993926,0 days 00:04:43.735781,0.815546875,0.025014745847667854,COMPLETE
42,,2024-05-12 16:00:34.993926,2024-05-12 16:03:44.135058,0 days 00:03:09.141132,0.915046875,0.17688096418543967,FAIL
43,,2024-05-12 16:03:44.135058,2024-05-12 16:06:43.904704,0 days 00:02:59.769646,0.8652968750000001,0.4703526530375485,FAIL
44,,2024-05-12 16:06:43.904704,2024-05-12 16:09:15.540718,0 days 00:02:31.636014,0.964796875,0.0665179101023868,FAIL
45,2.9040488641486206,2024-05-12 16:09:15.540718,2024-05-12 16:13:59.311247,0 days 00:04:43.770529,0.8901718750000001,0.04079128112145074,COMPLETE
46,1.7170553635328243,2024-05-12 16:13:59.312246,2024-05-12 16:18:42.220032,0 days 00:04:42.907786,0.989671875,0.28843791494264615,COMPLETE
47,,2024-05-12 16:18:42.220032,2024-05-12 16:21:23.023322,0 days 00:02:40.803290,0.840421875,0.10847005150967053,FAIL
48,4.094255299792967,2024-05-12 16:21:23.023322,2024-05-12 16:26:06.166672,0 days 00:04:43.143350,0.939921875,0.015339981795628423,COMPLETE
49,,2024-05-12 16:26:06.167652,2024-05-12 16:28:37.804079,0 days 00:02:31.636427,0.846640625,0.013574755984415779,FAIL
50,,2024-05-12 16:28:37.805078,2024-05-12 16:32:34.213830,0 days 00:03:56.408752,0.946140625,0.09598802009533063,FAIL
51,,2024-05-12 16:32:34.213830,2024-05-12 16:36:11.507697,0 days 00:03:37.293867,0.896390625,0.2552463467144349,FAIL
52,2.557656454224872,2024-05-12 16:36:11.507697,2024-05-12 16:41:09.703145,0 days 00:04:58.195448,0.995890625,0.03609728452697392,COMPLETE
53,2.384053714891784,2024-05-12 16:41:09.704148,2024-05-12 16:46:01.309143,0 days 00:04:51.604995,0.871515625,0.058863459570110556,COMPLETE
54,1.941639559391217,2024-05-12 16:46:01.309143,2024-05-12 16:50:53.882954,0 days 00:04:52.573811,0.9710156249999999,0.41622751426125343,COMPLETE
55,2.020697254400987,2024-05-12 16:50:53.882954,2024-05-12 16:55:45.474372,0 days 00:04:51.591418,0.821765625,0.15652664775585304,COMPLETE
56,2.7787467736719,2024-05-12 16:55:45.475372,2024-05-12 17:00:36.673108,0 days 00:04:51.197736,0.921265625,0.022136210812912362,COMPLETE
57,4.976221843933065,2024-05-12 17:00:36.673108,2024-05-12 17:05:30.055553,0 days 00:04:53.382445,0.883953125,0.017334752960595407,COMPLETE
58,,2024-05-12 17:05:30.055553,2024-05-12 17:09:23.915316,0 days 00:03:53.859763,0.983453125,0.1225752136863059,FAIL
59,,2024-05-12 17:09:23.915316,2024-05-12 17:12:10.696940,0 days 00:02:46.781624,0.834203125,0.325945628007518,FAIL
60,1.4473393057656085,2024-05-12 17:12:10.696940,2024-05-12 17:17:04.255610,0 days 00:04:53.558670,0.9337031250000001,0.04609567277244478,COMPLETE
61,2.9449762300166307,2024-05-12 17:17:04.256610,2024-05-12 17:21:55.690439,0 days 00:04:51.433829,0.8093281250000001,0.02826759805966496,COMPLETE
62,,2024-05-12 17:21:55.691439,2024-05-12 17:25:09.740351,0 days 00:03:14.048912,0.908828125,0.1998821027584478,FAIL
63,1.319114859796997,2024-05-12 17:25:09.740351,2024-05-12 17:30:00.820390,0 days 00:04:51.080039,0.859078125,0.07516772538860314,COMPLETE
64,3.9199628670755615,2024-05-12 17:30:00.820390,2024-05-12 17:34:51.114540,0 days 00:04:50.294150,0.9585781250000001,0.010630321669729898,COMPLETE
65,,2024-05-12 17:34:51.115049,2024-05-12 17:37:27.046073,0 days 00:02:35.931024,0.8792890625,0.010960228525658778,FAIL
66,1.4906770250736139,2024-05-12 17:37:27.046073,2024-05-12 17:42:17.913061,0 days 00:04:50.866988,0.9787890625,0.07750051913847555,COMPLETE
67,,2024-05-12 17:42:17.914064,2024-05-12 17:45:22.981709,0 days 00:03:05.067645,0.8295390625000001,0.20608534647263058,FAIL
68,3.877577455252664,2024-05-12 17:45:22.982709,2024-05-12 17:50:13.779429,0 days 00:04:50.796720,0.9290390625,0.029144869198795255,COMPLETE
69,1.3071700107847524,2024-05-12 17:50:13.779429,2024-05-12 17:55:05.089610,0 days 00:04:51.310181,0.8046640625,0.047526229527804956,COMPLETE
70,,2024-05-12 17:55:05.089610,2024-05-12 17:58:17.972944,0 days 00:03:12.883334,0.9041640625,0.3360611918333919,FAIL
71,,2024-05-12 17:58:17.973451,2024-05-12 18:02:06.062566,0 days 00:03:48.089115,0.8544140625000001,0.12637927574749538,FAIL
72,,2024-05-12 18:02:06.062566,2024-05-12 18:05:07.913860,0 days 00:03:01.851294,0.9539140625,0.017872728576499717,FAIL
73,4.524900369855583,2024-05-12 18:05:07.913860,2024-05-12 18:09:56.565418,0 days 00:04:48.651558,0.8419765625000001,0.022823197334897107,COMPLETE
74,1.3668925925197764,2024-05-12 18:09:56.566416,2024-05-12 18:14:44.319844,0 days 00:04:47.753428,0.9414765625,0.16138437603864478,COMPLETE
75,,2024-05-12 18:14:44.320840,2024-05-12 18:17:50.271990,0 days 00:03:05.951150,0.8917265625,0.4291449324586757,FAIL
76,,2024-05-12 18:17:50.271990,2024-05-12 18:22:09.404329,0 days 00:04:19.132339,0.9912265625,0.060690258370674516,FAIL
77,3.1180637575622296,2024-05-12 18:22:09.404329,2024-05-12 18:26:53.701158,0 days 00:04:44.296829,0.8668515625000001,0.0372175461724681,COMPLETE
78,1.4892443810772693,2024-05-12 18:26:53.701158,2024-05-12 18:31:42.553675,0 days 00:04:48.852517,0.9663515625,0.2631677927767562,COMPLETE
79,,2024-05-12 18:31:42.554675,2024-05-12 18:35:05.688865,0 days 00:03:23.134190,0.8171015625,0.09896696155169889,FAIL
80,,2024-05-12 18:35:05.689865,2024-05-12 18:37:55.823601,0 days 00:02:50.133736,0.9166015625,0.013996041925326932,FAIL
81,4.0797845628590155,2024-05-12 18:37:55.823601,2024-05-12 18:42:44.906320,0 days 00:04:49.082719,0.8233203125,0.01581605065990491,COMPLETE
82,,2024-05-12 18:42:44.907320,2024-05-12 18:47:23.319216,0 days 00:04:38.411896,0.9228203125000001,0.11183636673208729,FAIL
83,,2024-05-12 18:47:23.319216,2024-05-12 18:50:26.045227,0 days 00:03:02.726011,0.8730703125,0.29738944516024746,FAIL
84,,2024-05-12 18:50:26.045227,2024-05-12 18:54:27.013730,0 days 00:04:00.968503,0.9725703125,0.04205721866522319,FAIL
85,,2024-05-12 18:54:27.013730,2024-05-12 18:57:28.733822,0 days 00:03:01.720092,0.8979453125,0.0685822610474129,FAIL
86,2.314066695861327,2024-05-12 18:57:28.734823,2024-05-12 19:02:19.328982,0 days 00:04:50.594159,0.9974453125,0.4849498185573166,COMPLETE
87,,2024-05-12 19:02:19.329989,2024-05-12 19:05:42.966910,0 days 00:03:23.636921,0.8481953125,0.182370378765833,FAIL
88,3.3817801255191493,2024-05-12 19:05:42.966910,2024-05-12 19:10:29.802505,0 days 00:04:46.835595,0.9476953125,0.02579106630257594,COMPLETE
89,2.436107295127506,2024-05-12 19:10:29.802505,2024-05-12 19:15:15.535545,0 days 00:04:45.733040,0.8606328125,0.02019685151736546,COMPLETE
90,,2024-05-12 19:15:15.536545,2024-05-12 19:18:04.111648,0 days 00:02:48.575103,0.9601328125,0.14281330666546926,FAIL
91,,2024-05-12 19:18:04.111648,2024-05-12 19:22:32.723779,0 days 00:04:28.612131,0.8108828125,0.3797617114340558,FAIL
92,,2024-05-12 19:22:32.724779,2024-05-12 19:25:37.629248,0 days 00:03:04.904469,0.9103828125,0.05370641627800596,FAIL
93,,2024-05-12 19:25:37.630248,2024-05-12 19:28:42.542602,0 days 00:03:04.912354,0.8357578125,0.03293479186357044,FAIL
94,,2024-05-12 19:28:42.543602,2024-05-12 19:33:10.741758,0 days 00:04:28.198156,0.9352578125,0.23288414663698184,FAIL
95,1.339010880798356,2024-05-12 19:33:10.741758,2024-05-12 19:37:47.726292,0 days 00:04:36.984534,0.8855078125,0.08757848421738194,COMPLETE
96,2.2245971164387517,2024-05-12 19:37:47.726292,2024-05-12 19:42:24.666697,0 days 00:04:36.940405,0.9850078125,0.012385468015229963,COMPLETE
97,,2024-05-12 19:42:24.666697,2024-05-12 19:44:53.344475,0 days 00:02:28.677778,0.8264296875,0.011651075480150222,FAIL
98,,2024-05-12 19:44:53.344475,2024-05-12 19:49:13.246265,0 days 00:04:19.901790,0.9259296875,0.08238554480130533,FAIL
99,,2024-05-12 19:49:13.246265,2024-05-12 19:51:41.910307,0 days 00:02:28.664042,0.8761796875000001,0.2190753524421798,FAIL
